candidate_store_id,source_store_id,store_name,brand,sido,sigungu,admin_dong,legal_dong,road_address,jibun_address,address,longitude,latitude,biz_l1,biz_l2,biz_l3,ksic_name
GS_CONV_0001,MA010120220808037647,씨유티,CU,서울특별시,강서구,발산1동,마곡동,서울특별시 강서구 마곡중앙2로 35,서울특별시 강서구 마곡동 800-15,서울특별시 강서구 마곡중앙2로 35,126.830664387212,37.5579650352303,소매,종합 소매,편의점,음료 소매업
GS_CONV_0002,MA010120220800507692,세븐일레븐화곡본동점,세븐일레븐,서울특별시,강서구,화곡본동,화곡동,서울특별시 강서구 초록마을로14길 37,서울특별시 강서구 화곡동 55-88,서울특별시 강서구 초록마을로14길 37,126.848490352688,37.5409063383749,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0003,MA010120220800543869,세븐S개화산역점주,세븐일레븐,서울특별시,강서구,방화2동,방화동,서울특별시 강서구 양천로 22,서울특별시 강서구 방화동 846,서울특별시 강서구 양천로 22,126.805999972423,37.5722709229536,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0004,MA010120220813296778,세븐일레븐화곡로점,세븐일레븐,서울특별시,강서구,화곡6동,화곡동,서울특별시 강서구 화곡로60길 33,서울특별시 강서구 화곡동 1114-21,서울특별시 강서구 화곡로60길 33,126.853127639144,37.5534180512929,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0005,MA010120220807797446,씨유양천향교점,CU,서울특별시,강서구,가양1동,가양동,서울특별시 강서구 양천로49길 35,서울특별시 강서구 가양동 276-2,서울특별시 강서구 양천로49길 35,126.84049603232,37.5701962243359,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0006,MA010120220811824553,지에스25화곡초교점,GS25,서울특별시,강서구,화곡본동,화곡동,서울특별시 강서구 초록마을로6길 1,서울특별시 강서구 화곡동 53-14,서울특별시 강서구 초록마을로6길 1,126.847355352883,37.5426167746136,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0007,MA010120220804821859,세븐일레븐롯데스카이파크점,세븐일레븐,서울특별시,강서구,방화2동,개화동,서울특별시 강서구 하늘길 38,서울특별시 강서구 개화동 662,서울특별시 강서구 하늘길 38,126.802957316013,37.5713648899321,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0008,MA010120220800507644,씨유염창오피스점,CU,서울특별시,강서구,염창동,염창동,서울특별시 강서구 공항대로 653-9,서울특별시 강서구 염창동 283-2,서울특별시 강서구 공항대로 653-9,126.877479753242,37.5477965750395,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0009,MA010120220814112486,씨유신방화점,CU,서울특별시,강서구,방화1동,마곡동,서울특별시 강서구 마곡서1로 115-1,서울특별시 강서구 마곡동 739-4,서울특별시 강서구 마곡서1로 115-1,126.818567205368,37.5667047411771,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0010,MA010120220811733674,이마트24마곡지웰점,이마트24,서울특별시,강서구,발산1동,마곡동,서울특별시 강서구 공항대로 200,서울특별시 강서구 마곡동 799-4,서울특별시 강서구 공항대로 200,126.829473753061,37.5589634273402,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0011,MA010120220808150082,변성호부동산,기타/미분류,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 마곡동로 62,서울특별시 강서구 마곡동 796-3,서울특별시 강서구 마곡동로 62,126.833895520125,37.560546473908,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0012,MA010120220800492887,세븐일레븐강서블루나인점,세븐일레븐,서울특별시,강서구,염창동,염창동,서울특별시 강서구 양천로 583,서울특별시 강서구 염창동 240-21,서울특별시 강서구 양천로 583,126.864347419079,37.5571165522596,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0013,MA010120220813645081,화담,기타/미분류,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 마곡중앙10로 10,서울특별시 강서구 마곡동 770,서울특별시 강서구 마곡중앙10로 10,126.830233081812,37.5634965301425,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0014,MA010120220800494818,비엔비,기타/미분류,서울특별시,강서구,방화2동,방화동,서울특별시 강서구 금낭화로 51-1,서울특별시 강서구 방화동 593-25,서울특별시 강서구 금낭화로 51-1,126.811473168039,37.5700092854478,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0015,MA010120220808816686,씨유강서,CU,서울특별시,강서구,등촌3동,등촌동,서울특별시 강서구 강서로54길 90,서울특별시 강서구 등촌동 668,서울특별시 강서구 강서로54길 90,126.843633196883,37.5585775804726,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0016,MA010120220805419941,이마트24R강서등촌,이마트24,서울특별시,강서구,화곡4동,화곡동,서울특별시 강서구 등촌로13길 67,서울특별시 강서구 화곡동 815-30,서울특별시 강서구 등촌로13길 67,126.859961245881,37.536271341123,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0017,MA010120220800049557,씨유방화오피스,CU,서울특별시,강서구,방화2동,방화동,서울특별시 강서구 개화동로29길 14,서울특별시 강서구 방화동 612-242,서울특별시 강서구 개화동로29길 14,126.807483465242,37.5632453871594,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0018,MA010120220807053488,세븐일레븐에스송정역점,세븐일레븐,서울특별시,강서구,공항동,공항동,서울특별시 강서구 공항대로 33,서울특별시 강서구 공항동 29-5,서울특별시 강서구 공항대로 33,126.811064578757,37.561476211497,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0019,MA010120220800868128,이마트24가양역점,이마트24,서울특별시,강서구,가양2동,가양동,서울특별시 강서구 양천로57길 10-11,서울특별시 강서구 가양동 1480-1,서울특별시 강서구 양천로57길 10-11,126.852938725956,37.5631665976334,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0020,MA010120220800498950,GS25화곡대원,GS25,서울특별시,강서구,화곡3동,화곡동,서울특별시 강서구 화곡로21길 87,서울특별시 강서구 화곡동 1021,서울특별시 강서구 화곡로21길 87,126.835910951032,37.5446917428749,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0021,MA010120220812147328,씨유이웰메디파크점,CU,서울특별시,강서구,발산1동,마곡동,서울특별시 강서구 마곡중앙4로 74,서울특별시 강서구 마곡동 801-7,서울특별시 강서구 마곡중앙4로 74,126.834920029449,37.5578809623624,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0022,MA010120220800481847,이마트24뉴가양8단지점,이마트24,서울특별시,강서구,가양3동,가양동,서울특별시 강서구 허준로 176,서울특별시 강서구 가양동 1482,서울특별시 강서구 허준로 176,126.856800823923,37.5618649011632,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0023,MA010120220800508669,씨유방화역점,CU,서울특별시,강서구,방화3동,방화동,서울특별시 강서구 금낭화로 287-50,서울특별시 강서구 방화동 829,서울특별시 강서구 금낭화로 287-50,126.812482299099,37.5783631026484,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0024,MA010120220810587838,씨유메이필드호텔점,CU,서울특별시,강서구,발산1동,외발산동,서울특별시 강서구 방화대로 94,서울특별시 강서구 외발산동 426,서울특별시 강서구 방화대로 94,126.819518103788,37.5478933979819,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0025,MA010120220805643618,이마트24화곡,이마트24,서울특별시,강서구,화곡3동,화곡동,서울특별시 강서구 강서로35길 70,서울특별시 강서구 화곡동 1037-32,서울특별시 강서구 강서로35길 70,126.834976338711,37.542609133956,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0026,MA010120220813396928,비에이치능성유통,기타/미분류,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 마곡중앙10로 30,서울특별시 강서구 마곡동 770-1,서울특별시 강서구 마곡중앙10로 30,126.831229313416,37.5634078589092,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0027,MA010120220804149044,GS25등촌서낭점,GS25,서울특별시,강서구,등촌3동,등촌동,서울특별시 강서구 화곡로63길 125,서울특별시 강서구 등촌동 663-7,서울특별시 강서구 화곡로63길 125,126.846156651606,37.5587791146806,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0028,MA010120220803319151,코리아세븐가양,세븐일레븐,서울특별시,강서구,가양3동,가양동,서울특별시 강서구 허준로 198,서울특별시 강서구 가양동 1488,서울특별시 강서구 허준로 198,126.860253974013,37.5612924014761,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0029,MA010120220800507604,씨유화곡보리수점,CU,서울특별시,강서구,화곡본동,화곡동,서울특별시 강서구 까치산로14길 13,서울특별시 강서구 화곡동 29-82,서울특별시 강서구 까치산로14길 13,126.848288520647,37.5455822624529,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0030,MA010120220813474778,GS25화곡고가점,GS25,서울특별시,강서구,화곡1동,화곡동,서울특별시 강서구 강서로 19,서울특별시 강서구 화곡동 903-1,서울특별시 강서구 강서로 19,126.84768729473,37.5296247865043,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0031,MA010120220800488623,씨유등촌SBS점,CU,서울특별시,강서구,등촌3동,등촌동,서울특별시 강서구 공항대로43길 123,서울특별시 강서구 등촌동 65-5,서울특별시 강서구 공항대로43길 123,126.851117761891,37.5625065885044,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0032,MA010120220800487451,GS25강서,GS25,서울특별시,강서구,화곡1동,화곡동,서울특별시 강서구 강서로 155,서울특별시 강서구 화곡동 1075-39,서울특별시 강서구 강서로 155,126.840819311944,37.5406169374085,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0033,MA010120220800501858,세븐일레븐화곡,세븐일레븐,서울특별시,강서구,화곡4동,화곡동,서울특별시 강서구 등촌로13길 90,서울특별시 강서구 화곡동 504-87,서울특별시 강서구 등촌로13길 90,126.859382468722,37.537198683167,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0034,MA010120220811968033,지에스25우,GS25,서울특별시,강서구,우장산동,화곡동,서울특별시 강서구 우현로 17,서울특별시 강서구 화곡동 84-5,서울특별시 강서구 우현로 17,126.843475781603,37.5472608475745,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0035,MA010120220805219230,이마트24마곡,이마트24,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 공항대로 213,서울특별시 강서구 마곡동 774-2,서울특별시 강서구 공항대로 213,126.831373501823,37.5596959626564,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0036,MA010120220805354941,세븐강서하이웨이주유소점,세븐일레븐,서울특별시,강서구,화곡6동,화곡동,서울특별시 강서구 공항대로 432,서울특별시 강서구 화곡동 1125,서울특별시 강서구 공항대로 432,126.854958826688,37.5545375513293,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0037,MA010120220813109063,세븐마곡롯데연구소점,세븐일레븐,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 마곡중앙로 201,서울특별시 강서구 마곡동 756,서울특별시 강서구 마곡중앙로 201,126.827736092323,37.5714126571226,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0038,MA010120220800543843,코리아세븐S주,세븐일레븐,서울특별시,강서구,화곡1동,화곡동,서울특별시 강서구 화곡로 164,서울특별시 강서구 화곡동 1075,서울특별시 강서구 화곡로 164,126.839890109935,37.5412553904615,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0039,MA010120220806865379,세븐화곡로점,세븐일레븐,서울특별시,강서구,화곡6동,화곡동,서울특별시 강서구 화곡로60길 33,서울특별시 강서구 화곡동 1114-21,서울특별시 강서구 화곡로60길 33,126.853127639144,37.5534180512929,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0040,MA010120220804658807,세븐일레븐마곡W,세븐일레븐,서울특별시,강서구,발산1동,마곡동,서울특별시 강서구 마곡중앙1로 14,서울특별시 강서구 마곡동 798-16,서울특별시 강서구 마곡중앙1로 14,126.825208030993,37.5584886713463,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0041,MA010120220814255264,지에스25화곡,GS25,서울특별시,강서구,화곡6동,화곡동,서울특별시 강서구 우장산로16길 19,서울특별시 강서구 화곡동 1105-7,서울특별시 강서구 우장산로16길 19,126.849485760723,37.5523232583585,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0042,MA010120220800477926,세븐일레븐강서화곡예스점,세븐일레븐,서울특별시,강서구,화곡본동,화곡동,서울특별시 강서구 화곡로42길 35,서울특별시 강서구 화곡동 29-52,서울특별시 강서구 화곡로42길 35,126.847484272522,37.5459866756584,소매,종합 소매,편의점,기타 음ㆍ식료품 위주 종합 소매업
GS_CONV_0043,MA010120220806839020,씨유방화초교점,CU,서울특별시,강서구,방화2동,방화동,서울특별시 강서구 초원로 22,서울특별시 강서구 방화동 585-6,서울특별시 강서구 초원로 22,126.807879707408,37.5676158574163,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0044,MA010120220806842180,세븐일레븐화곡,세븐일레븐,서울특별시,강서구,화곡1동,화곡동,서울특별시 강서구 강서로17길 62,서울특별시 강서구 화곡동 353-55,서울특별시 강서구 강서로17길 62,126.842386257338,37.5326451924419,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0045,MA010120220813992566,미니스톱우리동네점,미니스톱,서울특별시,강서구,화곡1동,화곡동,서울특별시 강서구 강서로7길 89,서울특별시 강서구 화곡동 926-1,서울특별시 강서구 강서로7길 89,126.842733145393,37.5290867028337,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0046,MA010120220806955495,세븐신방화역점,세븐일레븐,서울특별시,강서구,방화1동,방화동,서울특별시 강서구 방화대로 319,서울특별시 강서구 방화동 867,서울특별시 강서구 방화대로 319,126.816297147278,37.5692510452759,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0047,MA010120220809404554,세븐일레븐마곡대방디엠점,세븐일레븐,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 마곡동로10길 23,서울특별시 강서구 마곡동 776,서울특별시 강서구 마곡동로10길 23,126.839288211879,37.5686268557028,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0048,MA010120220803228466,씨유나눔등촌,CU,서울특별시,강서구,등촌1동,등촌동,서울특별시 강서구 공항대로45길 63,서울특별시 강서구 등촌동 639-23,서울특별시 강서구 공항대로45길 63,126.856004925559,37.5578635098832,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0049,MA010120220806713456,씨유화곡더숨점,CU,서울특별시,강서구,화곡본동,화곡동,서울특별시 강서구 초록마을로34길 57,서울특별시 강서구 화곡동 102-348,서울특별시 강서구 초록마을로34길 57,126.845067396718,37.5382349393497,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0050,MA010120220808448698,씨유마곡,CU,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 마곡중앙6로 10,서울특별시 강서구 마곡동 773-1,서울특별시 강서구 마곡중앙6로 10,126.828214207087,37.5603851750565,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0051,MA010120220812281326,이마트24강서나눔점,이마트24,서울특별시,강서구,염창동,염창동,서울특별시 강서구 양천로73길 49,서울특별시 강서구 염창동 95,서울특별시 강서구 양천로73길 49,126.874213191504,37.5522620901138,소매,종합 소매,편의점,체인화 편의점
GS_CONV_0052,MA010120220814274515,지에스25염창,GS25,서울특별시,강서구,염창동,염창동,서울특별시 강서구 공항대로81길 35,서울특별시 강서구 염창동 262,서울특별시 강서구 공항대로81길 35,126.876154153443,37.5487682702091,소매,종합 소매,편의점,체인화 편의점
